Month,Product,Size,Forecasted_Sales,Lower_Bound,Upper_Bound
2025-07-01,ALF Boys Ink Trousers,68,0.23569615454417658,0.0,1.6206083472985053
2025-08-01,ALF Boys Ink Trousers,68,0.0,0.0,0.9666188525740503
2025-09-01,ALF Boys Ink Trousers,68,0.09601440946458528,0.0,1.3691759922187474
2025-10-01,ALF Boys Ink Trousers,68,0.560259974794697,0.0,1.7785013815598625
2025-11-01,ALF Boys Ink Trousers,68,0.24974971097364246,0.0,1.5095965804371967
2025-06-01,ALF Boys Ink Trousers,72,0.8842290078954278,0.0,3.091315387481225
2025-07-01,ALF Boys Ink Trousers,72,1.5220672771142638,0.0,3.6225395461144725
2025-08-01,ALF Boys Ink Trousers,72,0.4378010023088039,0.0,2.429983514038602
2025-09-01,ALF Boys Ink Trousers,72,0.7876106881556297,0.0,3.1604570578982036
2025-10-01,ALF Boys Ink Trousers,72,1.958966665072812,0.027491927279979223,4.138282797778826
2025-11-01,ALF Boys Ink Trousers,72,0.3570819636633922,0.0,2.478096978031116
2025-06-01,ALF Boys Ink Trousers,76,5.384047746708004,2.3810685662303346,8.511663589225181
2025-07-01,ALF Boys Ink Trousers,76,2.7866653640233667,0.0,6.1063789472041705
2025-08-01,ALF Boys Ink Trousers,76,1.6617873676754273,0.0,4.867709116466302
2025-09-01,ALF Boys Ink Trousers,76,1.6130115207456277,0.0,4.8253653394157565
2025-10-01,ALF Boys Ink Trousers,76,2.4377189198424114,0.0,5.650048063226129
2025-11-01,ALF Boys Ink Trousers,76,2.1378402646737706,0.0,4.944019502985011
2025-06-01,ALF Boys Ink Trousers,80,4.746792514292753,2.5772080821428625,6.897850658903528
2025-07-01,ALF Boys Ink Trousers,80,3.178161964474598,0.8987601245529927,5.331775337782639
2025-08-01,ALF Boys Ink Trousers,80,3.1041767503191915,0.8632444837431522,5.255211887117383
2025-09-01,ALF Boys Ink Trousers,80,0.6754201637014514,0.0,2.9627828966252117
2025-10-01,ALF Boys Ink Trousers,80,0.44941632999973624,0.0,2.7620261891962263
2025-11-01,ALF Boys Ink Trousers,80,1.1198918891135103,0.0,3.3507274036273045
2025-06-01,ALF Boys Ink Trousers,84,3.112076444146388,0.19599205995375768,5.88868278576722
2025-07-01,ALF Boys Ink Trousers,84,3.015036995193129,0.16832850901743476,5.722514992154935
2025-08-01,ALF Boys Ink Trousers,84,2.1255515023847256,0.0,4.970259681146214
2025-09-01,ALF Boys Ink Trousers,84,2.7292488471965806,0.01353751970027364,5.6195445169416685
2025-10-01,ALF Boys Ink Trousers,84,3.182698385606479,0.317464308277815,6.084672778290865
