Product,Size,Lead Time Sales,Safety Stock,Stock On Hand,Order Quantity
ALF Boys Ink Trousers,100,1.9708487344212962,1.462809311405087,38,0
ALF Boys Ink Trousers,104,0.36809511012389995,2.121865548947651,30,0
ALF Boys Ink Trousers,108,2.4229642185124094,1.5368971425649958,15,0
ALF Boys Ink Trousers,112,0.0,0.6759338837699637,8,0
ALF Boys Ink Trousers,116,0.976860372875432,0.5900851200391288,5,0
ALF Boys Ink Trousers,120,0.6911372451630164,0.8644298581109018,10,0
ALF Boys Ink Trousers,124,0.6410391048467305,0.4532914382109038,9,0
ALF Boys Ink Trousers,128,0.5658979116485535,0.49058907893789927,6,0
ALF Boys Ink Trousers,152,0.07071515973184649,0.32483743492731354,5,0
ALF Boys Ink Trousers,64,0.0,0.07978461337867958,9,0
ALF Boys Ink Trousers,68,0.035530720650503014,1.049868287747804,23,0
ALF Boys Ink Trousers,72,1.1136775847676585,2.52372834418767,39,0
ALF Boys Ink Trousers,76,5.804131938522803,3.6280559799126726,49,0
ALF Boys Ink Trousers,80,5.2258940302262085,2.4757110236710202,85,0
ALF Boys Ink Trousers,84,3.566587199463189,3.184753197319332,84,0
ALF Boys Ink Trousers,88,3.891578282329337,4.377292409114403,97,0
ALF Boys Ink Trousers,92,6.682212788888298,4.045667504771913,92,0
ALF Boys Ink Trousers,96,4.350914799174326,1.9067490720450955,60,0
ALF Jacket,2XL,0.0,0.8936425321438481,31,0
ALF Jacket,2XS,0.0,0.18557642219658205,0,0
ALF Jacket,3XL,0.36737419456656,1.5353687656493868,16,0
ALF Jacket,4XL,0.026958267706629624,0.6075783050941307,14,0
ALF Jacket,5XL,1.1493637631112457,0.954675376946166,13,0
ALF Jacket,7XL,0.09304651906904414,0.1640499063741678,3,0
ALF Jacket,L,0.1716818350695339,3.924780982279371,78,0
ALF Jacket,M,3.18874021308983,2.167601070285751,107,0
ALF Jacket,S,4.06989750365597,3.551372688248826,100,0
ALF Jacket,XL,0.0,0.5053329695935478,36,0
ALF Jacket,XS,1.6564908618433623,3.6751437920383703,51,0
ALF Jnr Blouse,10,3.2105872444756782,5.342828935826359,13,0
