Product,Size,MAE,RMSE,Baseline_MAE,Holdout_Mean_Sales
ALF Boys Ink Trousers,100,2.5907073488650245,3.097619892905829,2.0,3.0
ALF Boys Ink Trousers,104,4.5752476623921625,6.245073791314937,2.6666666666666665,3.0
ALF Boys Ink Trousers,108,2.74498828221513,3.258966662928001,1.6666666666666667,2.5
ALF Boys Ink Trousers,112,1.5469537283455477,2.401037050771337,1.1666666666666667,1.0
ALF Boys Ink Trousers,116,0.44869467771707067,0.8547929226880104,1.0,1.1666666666666667
ALF Boys Ink Trousers,120,0.4096395096545587,0.5133942866708185,0.5,0.6666666666666666
ALF Boys Ink Trousers,124,0.6446202563996698,0.835898402552907,0.8333333333333334,0.16666666666666666
ALF Boys Ink Trousers,128,0.9949843916783667,1.2141503823133475,0.5,0.8333333333333334
ALF Boys Ink Trousers,152,0.12783531676298365,0.17890271289347984,0.16666666666666666,0.0
ALF Boys Ink Trousers,64,0.530718357924633,0.6187320608695757,0.5,-0.16666666666666666
ALF Boys Ink Trousers,68,2.0037668653199354,2.4009474712384113,2.1666666666666665,0.5
ALF Boys Ink Trousers,72,3.597969753969071,4.41111622590851,2.5,3.3333333333333335
ALF Boys Ink Trousers,76,5.45260583625764,7.644295288761727,2.5,5.333333333333333
ALF Boys Ink Trousers,80,2.7788356895750272,3.2753348462103364,2.3333333333333335,7.0
ALF Boys Ink Trousers,84,5.056966558875373,7.18312724633945,2.5,7.5
ALF Boys Ink Trousers,88,9.695385112039654,12.850193529579014,6.666666666666667,8.666666666666666
ALF Boys Ink Trousers,92,7.591964713262179,9.793279244516327,2.6666666666666665,6.333333333333333
ALF Boys Ink Trousers,96,3.671414102318849,4.979216589190036,1.5,5.833333333333333
ALF Jacket,2XL,1.2052441026361123,1.52754637754427,2.3333333333333335,1.5
ALF Jacket,2XS,0.055818188592349376,0.1355423104446525,0.0,0.0
ALF Jacket,3XL,1.8056083535597616,2.3659146018061703,1.8333333333333333,1.0
ALF Jacket,4XL,0.4989831865702746,0.6978797616630185,0.3333333333333333,1.0
ALF Jacket,5XL,0.6378120440311394,0.7597553741784365,0.6666666666666666,0.8333333333333334
ALF Jacket,7XL,0.0,0.0,0.0,0.0
ALF Jacket,L,3.222294473359724,3.6251441512283553,4.833333333333333,4.0
ALF Jacket,M,5.274444265503291,6.775358381157842,4.5,8.666666666666666
ALF Jacket,S,4.21191444167357,4.522681627268591,4.666666666666667,7.166666666666667
ALF Jacket,XL,2.5817951791843963,3.816431577614902,2.8333333333333335,2.1666666666666665
ALF Jacket,XS,3.404497901780168,6.640463878331774,3.8333333333333335,4.0
ALF Jnr Blouse,10,8.426481785993643,14.527314489650887,3.5,8.5
ALF Jnr Blouse,12,4.882594404463762,5.940920198892942,5.666666666666667,12.333333333333334
ALF Jnr Blouse,14,5.481078362350598,6.255959606093155,8.166666666666666,15.5
ALF Jnr Blouse,16,4.7337653239698785,6.3087185728372805,3.1666666666666665,7.166666666666667
ALF Jnr Blouse,18,1.8984951206388372,2.672885675308054,2.5,4.333333333333333
ALF Jnr Blouse,20,4.907069307401637,7.443881235749709,1.1666666666666667,2.6666666666666665
ALF Jnr Blouse,22,1.0760349476444289,1.9340326721502692,0.6666666666666666,0.5
ALF Jnr Blouse,24,0.7353299252657793,1.2870780025605975,0.5,0.5
ALF Jnr Blouse,26,0.06611002625204197,0.1154076799047077,0.8333333333333334,0.6666666666666666
ALF Jnr Blouse,28,0.9020534760655695,1.2044054507961142,0.6666666666666666,0.16666666666666666
ALF Jnr Blouse,30,0.5282752264883412,0.8740204890159124,0.16666666666666666,0.3333333333333333
ALF Jnr Blouse,6,1.753737031655514,2.9763472520339715,2.5,3.1666666666666665
ALF Jnr Blouse,8,7.472807140409281,10.584922551191678,3.6666666666666665,6.666666666666667
ALF Jnr Shirt,10,1.7932973644804566,1.9213390978269203,1.8333333333333333,2.8333333333333335
ALF Jnr Shirt,12,2.495213784217697,2.937662102686722,3.0,5.166666666666667
ALF Jnr Shirt,14,9.66206105290298,13.764137049238823,5.666666666666667,10.166666666666666
ALF Jnr Shirt,2XL,1.6003208542491247,2.52385535363128,2.8333333333333335,5.0
ALF Jnr Shirt,3XL,2.4971000286654195,4.850696548454739,2.3333333333333335,1.0
ALF Jnr Shirt,4XL,1.3358936861827282,2.110841495797352,1.1666666666666667,2.0
ALF Jnr Shirt,5XL,0.5404160840080041,0.7213633482911178,0.8333333333333334,1.1666666666666667
ALF Jnr Shirt,6XL,0.7549375455782715,1.3115567962589723,0.8333333333333334,0.0
ALF Jnr Shirt,7XL,0.489041216683113,0.691776929993582,0.5,0.5
ALF Jnr Shirt,L,2.5083520309187777,3.2075413411867686,4.166666666666667,8.0
ALF Jnr Shirt,M,2.9633209313784667,3.6821307956174496,5.333333333333333,9.666666666666666
ALF Jnr Shirt,S,6.2355720485647375,7.931366671725098,1.5,8.833333333333334
ALF Jnr Shirt,XL,5.600342922551676,10.571595816751259,5.0,4.333333333333333
ALF Long Skirt,10,8.996258710759518,13.377805381907114,5.5,9.5
ALF Long Skirt,12,5.839184641629088,8.97598313092452,4.833333333333333,7.333333333333333
ALF Long Skirt,14,9.664476840358256,12.534653617145139,3.6666666666666665,7.0
ALF Long Skirt,16,7.999753189523787,12.42096264445495,2.6666666666666665,7.333333333333333
ALF Long Skirt,18,6.888598907781578,10.152442154309055,2.6666666666666665,5.333333333333333
ALF Long Skirt,20,2.9159238017023763,3.4363700493166713,1.6666666666666667,1.8333333333333333
ALF Long Skirt,22,2.0601322834060665,2.632770929682535,1.1666666666666667,1.8333333333333333
ALF Long Skirt,24,1.9440492995444192,2.394460576425642,0.6666666666666666,0.6666666666666666
ALF Long Skirt,26,0.6816672767345388,1.0111963742374517,0.0,0.3333333333333333
ALF Long Skirt,28,0.9976099587769456,1.4374676358149163,0.0,0.5
ALF Long Skirt,4,2.582136917009769,3.4016728281308373,1.0,1.3333333333333333
ALF Long Skirt,6,6.406900833009305,8.07300015346234,1.0,3.0
ALF Long Skirt,8,8.011001147274932,11.874522151011606,5.5,5.666666666666667
ALF Navy Skirt,10,2.133614917461715,3.055430649537351,1.6666666666666667,3.0
ALF Navy Skirt,12,2.291457890160442,3.8391544277249343,2.3333333333333335,2.1666666666666665
ALF Navy Skirt,14,2.4230975599989852,5.159516698415715,1.8333333333333333,1.5
ALF Navy Skirt,16,1.987305241624375,3.2516373198387107,1.3333333333333333,1.0
ALF Navy Skirt,18,1.4924471250124949,2.402756358882996,0.3333333333333333,1.0
ALF Navy Skirt,20,1.0016789964171007,1.4870485858915137,1.0,-0.16666666666666666
ALF Navy Skirt,22,0.7150350411466944,1.2643328967937353,0.3333333333333333,0.16666666666666666
ALF Navy Skirt,24,0.7975101826161782,1.3471298576151907,0.8333333333333334,0.6666666666666666
ALF Navy Skirt,26,0.10995390117589522,0.20027070646268247,0.16666666666666666,0.16666666666666666
ALF Navy Skirt,4,1.5797786509298504,2.3843351980066916,1.3333333333333333,0.5
ALF Navy Skirt,6,4.460718501077153,10.448606945754033,2.6666666666666665,1.6666666666666667
ALF Navy Skirt,8,3.444760233983766,4.796504061246252,2.3333333333333335,3.1666666666666665
ALF Snr Blouse,10,2.5246696520434337,3.493001882457073,3.8333333333333335,6.5
ALF Snr Blouse,12,3.5040289807957525,5.506359120271216,5.0,8.5
ALF Snr Blouse,14,2.3869505463480576,3.814121206280012,1.8333333333333333,5.666666666666667
ALF Snr Blouse,16,3.0247403976145546,4.423516052452894,1.0,4.333333333333333
ALF Snr Blouse,18,3.659205252175165,4.909411653647039,1.3333333333333333,2.8333333333333335
ALF Snr Blouse,20,2.375748863176604,3.750973092673791,1.0,2.5
ALF Snr Blouse,22,3.8596477621338345,5.045580205152227,1.8333333333333333,2.5
ALF Snr Blouse,24,1.3622583930198688,2.0139586350552956,0.8333333333333334,1.0
ALF Snr Blouse,26,0.8652499374001371,1.0971416440438932,1.3333333333333333,1.3333333333333333
ALF Snr Blouse,28,0.7599715937500786,0.9821304085430955,0.3333333333333333,0.5
ALF Snr Blouse,6,3.79130782921769,5.203689161070962,2.0,3.0
ALF Snr Blouse,8,2.802568598021287,3.3938909500950984,2.3333333333333335,5.5
Mags Uniform Jnr Blouse L/S White (MG030),10,2.4301328647816396,3.0779962305535262,0.8333333333333334,2.1666666666666665
Mags Uniform Jnr Blouse L/S White (MG030),12,1.9420990400882978,2.163179600356571,1.3333333333333333,1.0
Mags Uniform Jnr Blouse L/S White (MG030),14,1.3112614587542881,1.5806817210469675,1.0,1.1666666666666667
Mags Uniform Jnr Blouse L/S White (MG030),16,0.5167640614594112,0.6801938899316128,0.5,0.8333333333333334
Mags Uniform Jnr Blouse L/S White (MG030),18,1.049656492361682,1.2699772820122437,1.1666666666666667,0.6666666666666666
Mags Uniform Jnr Blouse L/S White (MG030),20,0.6210122081640496,0.6706186732371714,0.3333333333333333,0.0
Mags Uniform Jnr Blouse L/S White (MG030),6,0.4656350014328802,0.5290752812119359,0.6666666666666666,0.16666666666666666
Mags Uniform Jnr Blouse L/S White (MG030),8,3.561119041013358,4.398480745998312,2.0,1.1666666666666667
Mags Uniform Jnr Blouse SS White/Navy (MG014),10,42.5604010699601,59.24169721352297,8.666666666666666,33.666666666666664
Mags Uniform Jnr Blouse SS White/Navy (MG014),12,34.4791747453803,44.12074495886672,15.666666666666666,25.666666666666668
Mags Uniform Jnr Blouse SS White/Navy (MG014),14,20.99533499953245,29.003727941675898,2.6666666666666665,17.0
Mags Uniform Jnr Blouse SS White/Navy (MG014),16,9.902297870926306,14.354208723050995,2.1666666666666665,9.0
Mags Uniform Jnr Blouse SS White/Navy (MG014),18,6.305229108516122,7.671768648390293,2.8333333333333335,3.5
Mags Uniform Jnr Blouse SS White/Navy (MG014),20,2.3855841860062186,4.3084102951691206,2.1666666666666665,2.3333333333333335
Mags Uniform Jnr Blouse SS White/Navy (MG014),22,3.8273924435062194,5.112966913600818,0.8333333333333334,2.0
Mags Uniform Jnr Blouse SS White/Navy (MG014),24,1.3679244491371378,2.4464936225302862,1.0,1.1666666666666667
Mags Uniform Jnr Blouse SS White/Navy (MG014),26,0.3462608519828943,0.5809788828589633,0.8333333333333334,0.5
Mags Uniform Jnr Blouse SS White/Navy (MG014),30,0.5891818598235029,0.9389465802139905,0.6666666666666666,0.3333333333333333
Mags Uniform Jnr Blouse SS White/Navy (MG014),32,0.4832242718970677,0.8113393431375956,0.5,0.3333333333333333
Mags Uniform Jnr Blouse SS White/Navy (MG014),6,3.845006493089201,7.418187099446332,2.0,6.166666666666667
Mags Uniform Jnr Blouse SS White/Navy (MG014),8,22.03229340709043,29.290147062882536,8.5,16.666666666666668
Mags Uniform Jnr Blouse SS White/Navy (MG014),SPCL,0.34179529157693844,0.4605804522980862,0.3333333333333333,0.0
Mags Uniform Jumper Navy/Sky (MG009),10XL,0.6531771088417496,0.839184748693766,0.16666666666666666,0.0
Mags Uniform Jumper Navy/Sky (MG009),2XL/112,12.256651879658662,15.038016755150233,3.5,9.333333333333334
Mags Uniform Jumper Navy/Sky (MG009),3XL/117,2.667702150061493,3.8412302293966327,1.6666666666666667,4.333333333333333
Mags Uniform Jumper Navy/Sky (MG009),4XL/122,1.8024876162460055,2.0528139248548825,1.8333333333333333,1.5
Mags Uniform Jumper Navy/Sky (MG009),5XL/127,1.7464155339613476,2.108892109028408,2.3333333333333335,1.6666666666666667
Mags Uniform Jumper Navy/Sky (MG009),7XL/137,1.2886438171120238,2.1194744767177074,1.3333333333333333,0.6666666666666666
Mags Uniform Jumper Navy/Sky (MG009),L/102,16.810304150358238,29.225666765706766,13.166666666666666,22.5
