Category,Product,Code,Size,Stock On Hand,Lead Time (Weeks)
Western Heights High,WHHS Jnr Long Skirt,SK 196L WHHS-72cm,72cm,0,5
Western Heights High,WHHS Jnr Long Skirt,SK 196L WHHS-77cm,77cm,0,5
Western Heights High,WHHS Jnr Long Skirt,SK 196L WHHS-87cm,87cm,0,5
Western Heights High,WHHS Jnr Long Skirt,SK 196L WHHS-97cm,97cm,0,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -102,102,23,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -107,107,17,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -112,112,14,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -117,117,9,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -122,122,3,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -57,57,16,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -62,62,11,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -67,67,24,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -72,72,15,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -77,77,15,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -82,82,7,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -87,87,17,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -92,92,11,5
Western Heights High,WHHS Jnr Short Skirt,SK 195 WHHS -97,97,5,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -10XL,10XL,0,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -2XL,2XL,31,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -3XL,3XL,8,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -4XL,4XL,6,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -5XL,5XL,2,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -6XL,6XL,1,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -7XL,7XL,3,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -L,L,14,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -M,M,28,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -S,S,22,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -XL,XL,31,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105J WHHS -XS,XS,9,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105KJ WHHS -10,10,15,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105KJ WHHS -12,12,16,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105KJ WHHS -14,14,20,5
Western Heights High,WHHS Jnr Sky Polo,POLO 105KJ WHHS -8,8,8,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -2XL,2XL,12,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -3XL,3XL,5,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -4XL,4XL,4,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -5XL,5XL,2,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -6XL,6XL,4,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -8XL,8XL,0,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -L,L,26,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -M,M,23,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -S,S,22,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -XL,XL,22,5
Western Heights High,WHHS PE Shirts,ITS 05 WHHS -XS,XS,30,5
Western Heights High,WHHS PE Shirts,ITS 05K FB WHHS -10K,10K,26,5
Western Heights High,WHHS PE Shirts,ITS 05K FB WHHS -12K,12K,8,5
Western Heights High,WHHS PE Shirts,ITS 05K FB WHHS -14K,14K,14,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -2XL,2XL,14,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -3XL,3XL,4,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -4XL,4XL,9,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -5XL,5XL,5,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -6XL,6XL,3,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -7XL,7XL,0,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -8XL,8XL,1,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -L,L,17,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -M,M,27,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -S,S,30,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -XL,XL,19,5
Western Heights High,WHHS PE Shorts,SH 11A CL WHHS -XS,XS,29,5
Western Heights High,WHHS PE Shorts,SH 11AK CL WHHS -10K,10K,14,5
Western Heights High,WHHS PE Shorts,SH 11AK CL WHHS -12K,12K,20,5
Western Heights High,WHHS PE Shorts,SH 11AK CL WHHS -14K,14K,13,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -102,102,10,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -107,107,4,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -127,127,1,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -62,62,7,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -67,67,15,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -72,72,15,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -77,77,14,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -82,82,22,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -87,87,28,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -92,92,13,5
Western Heights High,WHHS Snr Girls Short,DSH 002S WHHS -97,97,5,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -10,10,14,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -12,12,10,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -14,14,6,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -16,16,7,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -18,18,9,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -20,20,9,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -22,22,6,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -24,24,3,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -26,26,3,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -28,28,7,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -30,30,2,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -6,6,11,5
Western Heights High,WHHS Snr L/S Blouse,US BL 417L WHHS -8,8,15,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -12,12,12,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -14,14,10,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -16,16,16,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -2XL,2XL,32,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -3XL,3XL,24,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -4XL,4XL,18,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -5XL,5XL,10,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -L,L,19,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -M,M,16,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -S,S,15,5
Western Heights High,WHHS Snr L/S Shirt,US ST 468L WHHS -XL,XL,33,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -10,10,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -12,12,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -14,14,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -2XL,2XL,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -4XL,4XL,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -6XL,6XL,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -8,8,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -L,L,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -M,M,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -S,S,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -XL,XL,0,5
Western Heights High,WHHS Snr Navy Polo,POLO 105S WHHS -XS,XS,0,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -10,10,59,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -12,12,11,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -14,14,29,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -16,16,11,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -18,18,12,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -20,20,6,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -22,22,11,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -24,24,8,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -26,26,3,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -28,28,3,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -30,30,3,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -32,32,2,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -6,6,10,5
Western Heights High,WHHS Snr S/S Blouse,US BL 416 WHHS -8,8,7,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -12,12,8,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -14,14,4,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -16,16,20,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -2XL,2XL,52,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -3XL,3XL,57,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -4XL,4XL,27,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -5XL,5XL,8,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -6XL,6XL,13,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -7XL,7XL,9,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -L,L,18,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -M,M,22,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -S,S,29,5
Western Heights High,WHHS Snr Shirt,US ST 467 WHHS -XL,XL,21,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -100,100,15,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -104,104,16,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -108,108,10,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -112,112,10,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -116,116,9,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -120,120,9,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -124,124,9,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -128,128,2,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -132,132,1,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -68,68,4,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -72,72,20,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -76,76,22,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -80,80,35,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -84,84,44,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -88,88,43,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -92,92,46,5
Western Heights High,WHHS Snr Shorts,US SH 703L WHHS -96,96,29,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -10,10,19,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -12,12,16,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -14,14,20,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -16,16,11,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -18,18,5,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -20,20,9,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -22,22,11,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -24,24,7,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -26,26,4,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -28,28,5,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -34,34,2,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -4,4,5,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -6,6,13,5
Western Heights High,WHHS Snr Skirt,US SK 189 WHHS -8,8,20,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -100,100,11,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -104,104,10,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -108,108,10,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -112,112,6,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -116,116,4,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -120,120,3,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -68,68,0,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -72,72,19,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -76,76,25,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -80,80,36,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -84,84,45,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -88,88,50,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -92,92,45,5
Western Heights High,WHHS Snr Trouser,US PT 703L WHHS -96,96,28,5
